Timestamp,Age,Gender,Branch,Registration Type,High School GPA,Weekly Attendance Percentage,Weekly Study Hours,Daily Study Hours,Marital Status,Employment Status,Has Study Schedule,University GPA
2/1/2025 9:37:47,21,ذكر,المعلوماتية,تسجيل اساسي,71.0,100.0,24.0,3.0,0,1,1,3.69
2/4/2025 23:13:29,22,ذكر,المعلوماتية,تسجيل اساسي,64.0,100.0,14.0,1.5,0,1,0,3.68
2/4/2025 21:59:53,18,انثى,علوم صحية,تسجيل اساسي,59.0,100.0,5.0,1.0,0,0,0,3.6
1/31/2025 20:14:01,28,ذكر,المعلوماتية,تسجيل اساسي,77.0,90.0,14.0,2.0,1,0,0,3.54
1/31/2025 10:49:48,35,ذكر,نظم معلومات ادارية,تسجيل اساسي,60.0,10.0,3.0,3.0,1,1,1,3.51
1/31/2025 3:22:53,21,ذكر,المعلوماتية,تسجيل اساسي,79.0,100.0,35.0,5.0,0,1,1,3.5
1/31/2025 3:26:48,22,ذكر,المعلوماتية,تسجيل اساسي,75.0,90.0,30.0,3.0,0,0,0,3.5
1/31/2025 2:25:09,31,ذكر,المعلوماتية,تسجيل اساسي,73.0,20.0,12.0,2.0,1,1,0,3.5
1/31/2025 2:33:19,21,ذكر,المعلوماتية,تسجيل اساسي,75.0,90.0,12.0,2.0,0,1,0,3.48
2/4/2025 21:57:00,36,ذكر,نظم معلومات ادارية,تسجيل اساسي,75.0,85.0,3.0,1.0,1,1,0,3.48
1/31/2025 10:45:00,27,ذكر,المعلوماتية,تجسير,65.0,20.0,18.0,3.0,0,1,1,3.4456
1/31/2025 16:23:18,21,انثى,المعلوماتية,تسجيل اساسي,77.91,97.0,15.0,2.0,0,0,1,3.43
1/31/2025 17:09:53,19,انثى,المعلوماتية,تسجيل اساسي,79.0,100.0,15.0,5.0,0,0,0,3.4
1/31/2025 7:31:50,21,ذكر,المعلوماتية,تسجيل اساسي,88.0,95.0,30.0,4.0,0,0,0,3.36
2/4/2025 22:11:12,21,ذكر,المعلوماتية,تسجيل اساسي,88.0,95.0,25.0,4.0,0,0,0,3.332
1/31/2025 3:27:18,23,ذكر,المعلوماتية,تسجيل اساسي,74.0,95.0,35.0,5.0,0,0,0,3.3
1/31/2025 2:28:54,20,ذكر,المعلوماتية,تسجيل اساسي,70.83,95.0,28.0,4.0,0,0,1,3.3
1/31/2025 2:28:39,34,ذكر,المعلوماتية,تسجيل اساسي,83.0,1.0,1.0,1.0,1,1,0,3.3
1/31/2025 3:54:36,20,ذكر,المعلوماتية,تسجيل اساسي,73.0,95.0,30.0,4.0,1,0,0,3.24
2/4/2025 22:40:54,25,ذكر,المعلوماتية,نقل,78.0,50.0,28.0,4.0,0,1,1,3.24
2/1/2025 13:23:56,21,ذكر,المعلوماتية,تسجيل اساسي,66.0,50.0,15.0,2.0,0,0,0,3.24
1/31/2025 8:51:20,20,ذكر,المعلوماتية,تسجيل اساسي,73.0,65.0,14.0,2.0,0,1,0,3.24
1/31/2025 13:06:32,23,انثى,المعلوماتية,تسجيل اساسي,75.0,97.0,4.0,1.0,0,1,0,3.236
2/4/2025 23:07:58,20,انثى,المعلوماتية,تسجيل اساسي,70.0,99.0,34.0,6.0,0,0,0,3.2244
2/5/2025 1:53:47,19,انثى,المعلوماتية,تسجيل اساسي,79.5,90.0,6.0,6.0,0,0,0,3.208
1/31/2025 16:01:37,19,انثى,المعلوماتية,تسجيل اساسي,73.0,100.0,30.0,5.0,0,1,0,3.2
1/31/2025 2:31:16,22,ذكر,المعلوماتية,تسجيل اساسي,81.0,85.0,25.0,4.0,0,0,0,3.2
